Month,Day,mean,std,Risk_Threshold_m_s,Historical_Prob_%,Theoretical_Risk_Prob_%
1,1,4.901461393306452,1.7263149707295684,8.354091334765588,12.903225806451612,2.27501319481792
1,2,4.940089122768818,1.7569185068856408,8.4539261365401,9.67741935483871,2.27501319481792
1,3,5.300207071532258,1.7862476077215232,8.872702286975304,16.129032258064516,2.27501319481792
1,4,5.658853505215054,2.0645021626923987,9.787857830599851,12.903225806451612,2.27501319481792
1,5,5.105030503037635,1.8166942568069575,8.73841901665155,12.903225806451612,2.27501319481792
1,6,5.176449346505376,1.8476764902929257,8.871802327091228,12.903225806451612,2.27501319481792
1,7,5.402618178776882,1.6521340467548415,8.706886272286564,19.35483870967742,2.27501319481792
1,8,5.052427358803763,1.6628353322735705,8.378098023350905,16.129032258064516,2.27501319481792
1,9,5.193728109489247,1.7537831796090404,8.701294468707328,19.35483870967742,2.27501319481792
1,10,5.08915413139785,1.7305203988379931,8.550194929073836,19.35483870967742,2.27501319481792
1,11,5.4537753625403225,1.8509024462045234,9.155580254949369,16.129032258064516,2.27501319481792
1,12,5.36340136405914,1.8134198444947243,8.990241053048589,19.35483870967742,2.27501319481792
1,13,5.423643422016129,1.790372239141384,9.004387900298898,12.903225806451612,2.27501319481792
1,14,5.656864754489247,1.9728100079311375,9.602484770351522,19.35483870967742,2.27501319481792
1,15,5.410939174139785,1.980390192719026,9.371719559577837,16.129032258064516,2.27501319481792
1,16,5.232892305793011,1.8996581236807797,9.03220855315457,12.903225806451612,2.27501319481792
1,17,5.22071696891129,1.720605684953491,8.661928338818273,19.35483870967742,2.27501319481792
1,18,5.493923854489247,2.0101703439357745,9.514264542360795,19.35483870967742,2.27501319481792
1,19,5.301649941129032,1.877368757965642,9.056387457060316,19.35483870967742,2.27501319481792
1,20,5.68964206248656,1.7580851089375453,9.20581228036165,12.903225806451612,2.27501319481792
1,21,5.625371797688172,1.7070736135594131,9.039519024806998,16.129032258064516,2.27501319481792
1,22,5.927828558629033,1.9649094830105633,9.85764752465016,16.129032258064516,2.27501319481792
1,23,5.895669249529569,1.9140664892123473,9.723802227954264,16.129032258064516,2.27501319481792
1,24,5.628904576693548,1.8415931927077118,9.312090962108972,16.129032258064516,2.27501319481792
1,25,5.399976690994624,1.8622991031865261,9.124574897367676,19.35483870967742,2.27501319481792
1,26,5.435709757943548,1.895828597236496,9.22736695241654,9.67741935483871,2.27501319481792
1,27,5.201774902379032,1.6673635038303443,8.536501910039721,16.129032258064516,2.27501319481792
1,28,5.077118116465054,1.659799984186146,8.396718084837346,16.129032258064516,2.27501319481792
1,29,5.345557908790322,1.7079111981141282,8.761380305018578,19.35483870967742,2.27501319481792
1,30,5.585967423924731,1.8764860606449127,9.338939545214556,16.129032258064516,2.27501319481792
1,31,5.6536875821908605,1.7215657966342455,9.096819175459352,12.903225806451612,2.27501319481792
2,1,5.641499463333333,1.6599170416246785,8.96133354658269,12.903225806451612,2.27501319481792
2,2,5.364013168830645,1.878249412406894,9.120511993644433,12.903225806451612,2.27501319481792
2,3,5.459838247889785,1.7837804738990264,9.027399195687838,16.129032258064516,2.27501319481792
2,4,5.3011230071505375,1.8517929541894704,9.004708915529479,9.67741935483871,2.27501319481792
2,5,5.295115983212366,1.7798459263900603,8.854807835992487,29.03225806451613,2.27501319481792
2,6,5.147934543669355,1.658706076506617,8.46534669668259,25.806451612903224,2.27501319481792
2,7,5.233103495134409,1.7888584836274954,8.8108204623894,16.129032258064516,2.27501319481792
2,8,5.117095265497312,1.6232563649273217,8.363607995351956,25.806451612903224,2.27501319481792
2,9,5.5359252565860215,1.815348663063696,9.166622582713414,22.58064516129032,2.27501319481792
2,10,5.336957686169354,1.855905096687125,9.048767879543604,19.35483870967742,2.27501319481792
2,11,5.229554484986559,1.7081236754580857,8.64580183590273,16.129032258064516,2.27501319481792
2,12,5.757055987325268,1.6672629188886345,9.091581825102537,16.129032258064516,2.27501319481792
2,13,5.665791104838709,1.7814490752094176,9.228689255257544,22.58064516129032,2.27501319481792
2,14,5.804078414973119,1.984755809191337,9.773590033355793,22.58064516129032,2.27501319481792
2,15,5.464763588965053,1.817413358071205,9.099590305107464,29.03225806451613,2.27501319481792
2,16,5.497291529690861,1.9073387041030228,9.311968937896907,25.806451612903224,2.27501319481792
2,17,5.889701046599463,2.0368437109747473,9.963388468548956,19.35483870967742,2.27501319481792
2,18,5.694712687943548,1.8576574912879054,9.410027670519359,19.35483870967742,2.27501319481792
2,19,5.8880217487768824,1.9412801586976913,9.770582066172265,12.903225806451612,2.27501319481792
2,20,5.808216793642473,1.923712417852317,9.655641629347107,16.129032258064516,2.27501319481792
2,21,5.734184240564517,1.6694195987000389,9.073023437964594,25.806451612903224,2.27501319481792
2,22,5.384360327930107,1.8090555113833902,9.002471350696887,12.903225806451612,2.27501319481792
